Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
277098,Bakhtiyarpur,1298638,21,Bakhtiyarpur (M) - Ward No.21
249687,Jamui,59994,9,Jamui (M) - Ward No.9
249670,Sasaram,36732,15,Sasaram (M) - Ward No.15
249646,Silao,59565,5,Silao (NP) - Ward No.5
249643,Hilsa,36365,9,Hilsa (NP) - Ward No.9
249586,Forbesganj,35768,8,Forbesganj (M) - Ward No.8
249598,Murliganj,35913,1,Murliganj (NP) - Ward No.1
249659,Arrah,59623,26,Arrah (M Corp.) - Ward No.26
249597,Madhepura,35905,9,Madhepura (M) - Ward No.9
276429,Harnaut,1298692,12,Harnaut (NP) - Ward No.12
277098,Bakhtiyarpur,1298629,12,Bakhtiyarpur (M) - Ward No.12
249670,Sasaram,36735,18,Sasaram (M) - Ward No.18
249638,Barahiya,36309,5,Barahiya (NP) - Ward No.5
249668,Bikramganj,1298712,18,Bikramganj (M) - Ward No.18
249648,Danapur,1298550,22,Danapur Nizamat (M) - Ward No.22
249590,Kishanganj,35835,28,Kishanganj (M) - Ward No.28
249625,Khagaria,1299335,23,Khagaria (M) - Ward No.23
249650,Patna,1298527,58,Patna (M Corp.) - Ward No.58
249630,Bhagalpur,59448,9,Bhagalpur (M Corp.) - Ward No.9
249680,Gaya,59985,38,Kaler (OG) - Ward No.38
276644,Bikarm,1298666,7,Bikram (M) - Ward No.7
249593,Kasba,35883,5,Kasba (NP) - Ward No.5
249647,Maner,36385,12,Maner (NP) - Ward No.12
249687,Jamui,59996,11,Jamui (M) - Ward No.11
249632,Amarpur,7570,13,Amarpur (NP) - Ward No.13
249583,Birpur,1299507,11,Birpur (NP) - Ward No.11
